Bowler,Cluster,DPPI_Bowl
Nouman Sarwar,1,0.6652360481802216
RN ten Doeschate,1,0.6638759613796152
SMK Waththage,1,0.6635070705383359
LJ Myott,1,0.6628093227044756
A Mene-Ejegi,1,0.6621637950149121
DP Nannes,1,0.6604049493299724
Amir Hamza,1,0.660393259960213
G Stewart,1,0.6602364807533239
Syazrul Idrus,1,0.659895366329665
T Ritawa,1,0.6597812698169204
Usman Khan,1,0.659127878732442
Simi Singh,1,0.658143714007003
Nadeem Ahmed,1,0.6578062014507623
AA Gajic,1,0.6572179846333842
JS Patel,1,0.6570931928581825
D Maisuria,1,0.6555481878370385
A Gbla,1,0.6537968590268063
LT Bichard,1,0.6486234284498047
Rahmatullah Mangal,1,0.647546571001294
J Miyaji,1,0.6466317716021172
Ammar Khalid,1,0.6465358433686544
SE Bond,1,0.6462770546124607
M Akayezu,1,0.6461853426654685
MV Pavlovic,1,0.6446974248350327
GG Alta,1,0.6416580455401436
Ikramullah Khan,1,0.6411323270958317
GK Berg,1,0.6373413377610516
H Ssenyondo,1,0.6369611574471228
RJ Trott,1,0.6368680629746659
E Mathew,1,0.6357916945520445
Farhad Reza,1,0.635665627800632
RK Kiseto,1,0.6351099025532502
FA Cossa,1,0.6343516720986941
FH Edwards,1,0.634299284369691
GT Taylor,1,0.634081605097817
MJ Ansell,1,0.6324988001134277
Asad Ali Rehemtulla,1,0.631838633836006
DK Anefie,1,0.6310478283221782
Yuvraj Singh,1,0.6303349783349537
Amjad Javed,1,0.6298681280954166
Fanyan Mughal,1,0.6298122472132348
JM Anderson,1,0.6296637687826928
Amjad Sher,1,0.6290174876536078
Vishil Patel,1,0.6274939309160651
Yasir Arafat,1,0.6273228927552289
ND Laegsgaard,1,0.6270719951598608
DL Vettori,1,0.6266383797122436
MV Pavlovic,1,0.6256178914141504
Abdul Wahid,1,0.6226313372179217
Mohamed Shafeeq,1,0.6154175087929448
SC Kuggeleijn,1,0.6148295117686753
CJ Langford,1,0.6139314812822267
Sajid Liaqat,1,0.6131864744941785
Ahmed Wardak,1,0.610892510257909
MR Marsh,1,0.6101224882388285
J Jojo,1,0.6088198724150439
ST Jayasuriya,1,0.6070074320973319
DJ Hawoe,1,0.6068971415592772
Rizwan Haider,1,0.6068913813683643
I Wardlaw,1,0.6061284914575169
DAJ Bracewell,1,0.6038475275801104
B Regmi,1,0.6022621561822867
JD Nel,1,0.5991825514810958
P Florin,1,0.5984444766843431
B Masaba,1,0.5975044716171363
Fayaz Khan,1,0.5961979520042682
Vraj Patel,1,0.5951704857751813
HAM Shah,1,0.5885759135093956
K Hinds,1,0.5868003900027036
R Bakum,1,0.5846837945340138
K Santokie,1,0.5846632044490259
Sazib Bhuiyan,1,0.5787713382710458
A Dhingra,1,0.5774461311996758
Chen Zhuo Yue,1,0.5689263733492209
WK McCallan,1,0.5668487387615955
SK Awiah,1,0.5652890686236653
MW Machan,1,0.5553710384398629
RG Aga,1,0.5453234192030608
A Rangaswamy,1,0.5447415860990132
Abul Farhad,1,0.5437952170341206
GI Hume,1,0.5437952170341206
A Neill,1,0.5419931552288487
IG Holland,1,0.5412546282179517
Bashar Khan,1,0.5395345427570921
Zaker Taqawi,1,0.5377325513977802
AB Dinda,1,0.5365595537676375
G Fatouros,1,0.5313707708025249
Habib Khan,1,0.5302373186675341
Adil Butt,1,0.5292014658124313
Aizaz Cheema,1,0.5234390636598144
Qamar Mushtaque,1,0.5181961980950461
K Senamontree,1,0.5006047033681913
Ishtiaq Ahmad,1,0.49953550851133693
Shafat Ali Syed,1,0.48881619798346276
S Nsubuga,1,0.4751503227067097
LS Livingstone,1,0.4740920790824814
MA Baig,1,0.47263219611585305
E Chigumbura,1,0.46765042839174276
CT Mutombodzi,1,0.4670050408811104
M Yunusu Issa,1,0.4669618705637685
L Denny,1,0.461669310521739
MR Gillespie,1,0.4562833248634802
IKO Aboagye,1,0.45271991202673645
R Sharma,1,0.44569617366365677
M Syahadat Ramli,1,0.4437625474502064
P Cabebula,1,0.43626501347213975
AC Botha,1,0.43506807874548503
T Filer,1,0.43214533210446837
AC Douglas,1,0.42668502889273846
Ahmadullah Shinwari,1,0.42248169735781615
Gurpratap Singh,1,0.3757541140593335
RP Singh,1,0.35445919917808094
Mashrafe Mortaza,0,0.20970994739789348
MP Stoinis,0,0.13894782207390588
Syed Aziz,0,0.13731946770357278
Mohammad Sami,0,0.12175042399075911
