Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Reyes,DEATH,2,2,2,0,0,2,6,1.0,3.0,3.0,2.0,0,1.0,33.33333333333333,0.0,-0.722620504445314,-0.5121962467380706,-1.6324249081532387,-2.065103421956462,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.3862943611198906,0
A Shahzad,DEATH,1,1,2,2,1,27,12,27.0,12.0,12.0,13.5,0,1.0,16.666666666666664,25.0,-0.722620504445314,-1.683244574486556,1.2175543481213504,2.315448148066965,3.332204510175204,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Symonds,DEATH,1,1,5,4,2,40,22,40.0,22.0,22.0,10.909090909090908,0,1.0,22.727272727272727,27.27272727272727,-0.722620504445314,-1.2574088189416521,1.4766433714190401,1.3285254623304612,3.713572066704308,3.1354942159291497,0.6931471805599453,3.1354942159291497,0
A Symonds,DEATH,2,2,11,6,5,82,43,41.0,21.5,21.5,11.44186046511628,0,1.0,25.58139534883721,25.58139534883721,-0.722620504445314,-1.0568698875513194,1.2838329354765734,1.531466724513733,3.7376696182833684,3.1135153092103742,0.6931471805599453,3.1135153092103742,0
A Turkmen,DEATH,1,3,7,3,0,24,24,8.0,8.0,24.0,6.0,0,3.0,29.166666666666668,12.5,-0.722620504445314,-0.8049583286751916,-0.2074352800159441,-0.5414333106439657,2.1972245773362196,2.1972245773362196,1.3862943611198906,3.2188758248682006,0
A Vala,DEATH,1,4,14,1,4,55,40,13.75,10.0,40.0,8.25,1,0.0,35.0,12.5,1.3836222061859889,-0.3950914139632218,-0.2074352800159441,0.31563112696931345,2.691243082785829,2.3978952727983707,0.0,3.713572066704308,1
A Vala,DEATH,2,4,17,2,1,46,49,11.5,12.25,24.5,5.63265306122449,1,3.0,34.69387755102041,6.122448979591836,1.3836222061859889,-0.4166004648810512,-0.9344708045757885,-0.6813621984175623,2.5257286443082556,2.583997552432231,1.3862943611198906,3.2386784521643803,1
A Venkatesh,DEATH,1,10,19,17,2,112,62,11.2,6.2,62.0,10.838709677419354,1,0.0,30.64516129032258,30.64516129032258,1.3836222061859889,-0.7010750092781487,1.8610980511510966,1.3017160175566345,2.501435951739211,1.9740810260220096,0.0,4.143134726391533,1
A Venkatesh,DEATH,2,2,5,1,0,25,24,12.5,12.0,12.0,6.25,0,1.0,20.833333333333336,4.166666666666666,-0.722620504445314,-1.3904824925494343,-1.1574283654408073,-0.4462039286869347,2.6026896854443837,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Yon,DEATH,1,3,7,0,0,9,12,3.0,4.0,12.0,4.5,0,3.0,58.333333333333336,0.0,-0.722620504445314,1.244376244884658,-1.6324249081532387,-1.1128096023861518,1.3862943611198906,1.6094379124341003,1.3862943611198906,2.5649493574615367,0
A Zampa,DEATH,1,8,34,3,4,99,90,12.375,11.25,90.0,6.6000000000000005,1,0.0,37.77777777777778,7.777777777777778,1.3836222061859889,-0.19991669267180745,-0.7457646950900332,-0.31288279394709106,2.5933872927820705,2.505525936990736,0.0,4.51085950651685,1
A Zampa,DEATH,2,5,22,10,7,118,74,23.6,14.8,37.0,9.567567567567568,1,4.0,29.72972972972973,22.972972972972972,1.3836222061859889,-0.7653958851701753,0.9864749489639513,0.8175157075536664,3.202746442938317,2.760009940032921,1.6094379124341003,3.6375861597263857,1
AA Gajic,DEATH,1,4,16,3,0,37,37,9.25,9.25,37.0,6.0,1,0.0,43.24324324324324,8.108108108108109,1.3836222061859889,0.1841027589502183,-0.7081073115236421,-0.5414333106439657,2.327277705584417,2.327277705584417,0.0,3.6375861597263857,1
AA Noffke,DEATH,2,2,8,1,0,4,9,2.0,4.5,4.5,2.6666666666666665,0,1.0,88.88888888888889,11.11111111111111,-0.722620504445314,3.3912981790902146,-0.365767460920088,-1.8111584034043795,1.0986122886681096,1.7047480922384253,0.6931471805599453,1.7047480922384253,0
AAP Rivero,DEATH,2,1,14,1,0,22,29,22.0,29.0,14.5,4.551724137931034,0,0.5,48.27586206896552,3.4482758620689653,-0.722620504445314,0.5377091505536757,-1.2393243210808815,-1.0931069716364215,3.1354942159291497,3.4011973816621555,0.4054651081081644,2.740840023925201,0
AAhan Achar,DEATH,2,2,4,0,0,2,6,1.0,3.0,3.0,2.0,0,1.0,66.66666666666666,0.0,-0.722620504445314,1.8299004087589001,-1.6324249081532387,-2.065103421956462,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.3862943611198906,0
AB Dinda,DEATH,1,5,12,3,0,24,24,4.8,4.8,24.0,6.0,1,0.0,50.0,12.5,1.3836222061859889,0.6588520810104153,-0.2074352800159441,-0.5414333106439657,1.7578579175523736,1.7578579175523736,0.0,3.2188758248682006,1
AB Dinda,DEATH,2,8,18,4,2,49,42,6.125,5.25,21.0,7.0,1,7.0,42.85714285714285,14.285714285714285,1.3836222061859889,0.15697422626106355,-0.0038653331391878556,-0.16051578281584164,1.9636097261547143,1.8325814637483102,2.0794415416798357,3.091042453358316,1
AB Mengoumou,DEATH,1,1,3,2,1,23,12,23.0,12.0,12.0,11.5,0,1.0,25.0,25.0,-0.722620504445314,-1.097720410612313,1.2175543481213504,1.5536130924107168,3.1780538303479458,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
AC Agar,DEATH,1,3,16,2,1,71,72,23.666666666666668,24.0,72.0,5.916666666666667,0,3.0,22.22222222222222,4.166666666666666,-0.722620504445314,-1.2928951319037274,-1.1574283654408073,-0.5731764379629759,3.20545280453606,3.2188758248682006,1.3862943611198906,4.290459441148391,0
